Data,Time
292.0,23425.0
278.0,23431.0
281.0,23436.0
293.0,23442.0
287.0,23447.0
275.0,23452.0
287.0,23458.0
294.0,23463.0
280.0,23470.0
278.0,23475.0
292.0,23480.0
290.0,23486.0
276.0,23491.0
283.0,23497.0
294.0,23502.0
284.0,23507.0
275.0,23514.0
289.0,23519.0
292.0,23525.0
278.0,23530.0
280.0,23535.0
292.0,23541.0
288.0,23546.0
275.0,23553.0
285.0,23558.0
293.0,23564.0
281.0,23569.0
277.0,23574.0
291.0,23580.0
291.0,23585.0
276.0,23591.0
282.0,23597.0
293.0,23602.0
285.0,23608.0
275.0,23613.0
288.0,23619.0
292.0,23624.0
278.0,23629.0
278.0,23635.0
292.0,23641.0
288.0,23647.0
275.0,23652.0
284.0,23658.0
293.0,23663.0
281.0,23668.0
276.0,23674.0
290.0,23680.0
291.0,23686.0
276.0,23691.0
281.0,23696.0
293.0,23702.0
286.0,23707.0
275.0,23713.0
287.0,23718.0
293.0,23724.0
279.0,23730.0
278.0,23735.0
291.0,23741.0
289.0,23746.0
275.0,23751.0
283.0,23757.0
293.0,23762.0
282.0,23769.0
275.0,23774.0
289.0,23780.0
291.0,23785.0
277.0,23790.0
280.0,23796.0
292.0,23801.0
286.0,23808.0
274.0,23813.0
285.0,23818.0
292.0,23824.0
279.0,23829.0
277.0,23835.0
290.0,23840.0
289.0,23845.0
275.0,23852.0
282.0,23857.0
293.0,23863.0
283.0,23868.0
274.0,23873.0
288.0,23879.0
291.0,23884.0
277.0,23890.0
278.0,23896.0
291.0,23902.0
287.0,23907.0
274.0,23912.0
284.0,23918.0
292.0,23923.0
280.0,23929.0
276.0,23934.0
290.0,23940.0
289.0,23946.0
275.0,23951.0
281.0,23957.0
292.0,23962.0
284.0,23967.0
274.0,23973.0
287.0,23979.0
292.0,23985.0
277.0,23990.0
278.0,23995.0
291.0,24001.0
288.0,24006.0
274.0,24012.0
283.0,24017.0
292.0,24024.0
281.0,24029.0
275.0,24034.0
289.0,24040.0
290.0,24045.0
275.0,24051.0
280.0,24056.0
292.0,24061.0
285.0,24068.0
274.0,24073.0
286.0,24079.0
292.0,24084.0
278.0,24089.0
277.0,24095.0
290.0,24100.0
288.0,24107.0
274.0,24112.0
282.0,24117.0
292.0,24123.0
281.0,24128.0
274.0,24134.0
288.0,24139.0
290.0,24145.0
275.0,24151.0
279.0,24156.0
291.0,24162.0
285.0,24167.0
273.0,24173.0
285.0,24178.0
292.0,24183.0
278.0,24189.0
276.0,24195.0
290.0,24201.0
288.0,24206.0
274.0,24211.0
281.0,24217.0
292.0,24222.0
282.0,24228.0
273.0,24233.0
287.0,24239.0
290.0,24245.0
276.0,24250.0
278.0,24256.0
291.0,24261.0
286.0,24267.0
273.0,24272.0
284.0,24278.0
292.0,24284.0
279.0,24289.0
275.0,24295.0
289.0,24300.0
289.0,24305.0
274.0,24311.0
280.0,24316.0
291.0,24323.0
283.0,24328.0
273.0,24333.0
286.0,24339.0
291.0,24344.0
276.0,24350.0
277.0,24355.0
290.0,24361.0
287.0,24367.0
273.0,24372.0
282.0,24378.0
291.0,24383.0
280.0,24389.0
274.0,24394.0
288.0,24399.0
289.0,24406.0
275.0,24411.0
279.0,24417.0
291.0,24422.0
284.0,24427.0
273.0,24433.0
285.0,24438.0
291.0,24444.0
277.0,24450.0
276.0,24455.0
290.0,24461.0
287.0,24466.0
274.0,24472.0
282.0,24477.0
292.0,24483.0
281.0,24488.0
274.0,24494.0
288.0,24500.0
290.0,24505.0
276.0,24511.0
279.0,24516.0
291.0,24521.0
285.0,24527.0
273.0,24532.0
285.0,24539.0
292.0,24544.0
278.0,24549.0
276.0,24555.0
290.0,24560.0
288.0,24566.0
274.0,24571.0
281.0,24578.0
292.0,24583.0
282.0,24588.0
273.0,24594.0
287.0,24599.0
290.0,24605.0
276.0,24610.0
278.0,24615.0
291.0,24622.0
